TimeStep,Time,KineticEnergy,PotentialEnergy,TotalEnergy,Virial,Temperature,MeanSquareDisplacement
100,0.5050000000000003,375.948237591816,-2453.208559621338,-2077.260322029522,-4376.776469553017,0.501264316789088,0.0491822645792913
101,0.5100000000000003,376.09205782099673,-2453.3557730493453,-2077.2637152283487,-4376.563450977118,0.5014560770946623,0.04938608967988007
102,0.5150000000000003,375.3818323196239,-2452.6464226609105,-2077.2645903412867,-4361.56707456444,0.5005091097594986,0.049599183266455106
103,0.5200000000000004,373.81245400246587,-2451.075590093247,-2077.263136090781,-4331.7755316751245,0.49841660533662113,0.04982133405147268
104,0.5250000000000004,371.4216162157462,-2448.6811358948084,-2077.259519679062,-4287.914624805405,0.49522882162099496,0.050051819296714185
105,0.5300000000000004,368.2880287949298,-2445.5415357814436,-2077.253506986514,-4231.33525683745,0.4910507050599064,0.05028942183021126
106,0.5350000000000004,364.5346840291665,-2441.7789890354907,-2077.2443050063243,-4164.104318073405,0.48604624537222196,0.05053247087168161
107,0.5400000000000004,360.3379691547928,-2437.5690831673346,-2077.2311140125416,-4089.119527593607,0.48045062553972373,0.05077890851483674
108,0.5450000000000004,355.9347897206339,-2433.1489981567574,-2077.2142084361235,-4010.1930010909264,0.47457971962751183,0.051026390086890215
109,0.5500000000000004,351.6131048945302,-2428.80899323925,-2077.1958883447196,-3931.853633054627,0.4688174731927069,0.05127242717546704
110,0.5550000000000004,347.6748261041549,-2424.85493645002,-2077.180110345865,-3858.798560350302,0.46356643480553983,0.051514569816688185
111,0.5600000000000004,344.3784431870203,-2421.54882409591,-2077.1703809088895,-3795.141666808181,0.4591712575826937,0.05175060191469888
112,0.5650000000000004,341.8888500005451,-2419.0565848112856,-2077.1677348107405,-3743.6482408077736,0.45585180000072684,0.05197870656523205
113,0.5700000000000004,340.2607053119325,-2417.431384969288,-2077.1706796573553,-3705.439057376285,0.45368094041590995,0.05219756308056057
114,0.5750000000000004,339.4565464560334,-2416.6334526931437,-2077.1769062371104,-3680.325088681692,0.45260872860804446,0.0524063660790904
115,0.5800000000000004,339.37939194522215,-2416.5639930292396,-2077.1846010840172,-3667.2047008715467,0.45250585592696285,0.05260478525926872
116,0.5850000000000004,339.9014785248193,-2417.094112915763,-2077.192634390944,-3664.413749414025,0.4532019713664257,0.052792892535001586
117,0.5900000000000004,340.8841048417,-2418.084390908443,-2077.200286066743,-3670.070407635663,0.4545121397889333,0.05297107717358748
118,0.5950000000000004,342.1910842458406,-2419.398120014183,-2077.2070357683424,-3682.263182552803,0.4562547789944541,0.05313996096557476
119,0.6000000000000004,343.6980021150826,-2420.9106173772884,-2077.212615262206,-3699.1770161224126,0.45826400282011015,0.05330032004605576
120,0.6050000000000004,345.2979308040569,-2422.514856107524,-2077.216925303467,-3719.1431274839065,0.4603972410720758,0.05345301724560724
121,0.6100000000000004,346.9036922907034,-2424.1237673006385,-2077.220075009935,-3740.741800227261,0.46253825638760454,0.05359894696018024
122,0.6150000000000004,348.4473512380186,-2425.669563040961,-2077.222211802942,-3762.8208736969596,0.4645964683173581,0.05373899246314697
123,0.6200000000000004,349.8784776078479,-2427.101955850446,-2077.223478242598,-3784.4438637821377,0.4665046368104639,0.05387399383451516
124,0.6250000000000004,351.16249414795305,-2428.386413674059,-2077.223919526106,-3804.921564614818,0.4682166588639374,0.054004724758529146
125,0.6300000000000004,352.2797076333656,-2429.503305755798,-2077.2235981224326,-3823.789588462381,0.46970627684448746,0.05413187723374817
126,0.6350000000000005,353.2242564740152,-2430.446908340357,-2077.222651866342,-3840.7937389248264,0.4709656752986869,0.05425605324612538
127,0.6400000000000005,354.00140452027847,-2431.2228401546536,-2077.221435634375,-3855.852536734268,0.47200187269370464,0.054377764139050655
128,0.6450000000000005,354.62200575353046,-2431.842496683763,-2077.2204909302322,-3868.968976708348,0.47282934100470725,0.05449743600051227
129,0.6500000000000005,355.09459974622365,-2432.314930827225,-2077.2203310810014,-3880.151760040663,0.47345946632829816,0.05461541793489448
130,0.6550000000000005,355.41823196493465,-2432.6393347265735,-2077.2211027616386,-3889.291753063171,0.4738909759532462,0.054731987182518996
131,0.6600000000000005,355.58034030455144,-2432.802755054468,-2077.2224147499164,-3896.112956690218,0.4741071204060686,0.05484734626568367
132,0.6650000000000005,355.562295670618,-2432.7856729039595,-2077.2233772333416,-3900.291044896164,0.47408306089415736,0.05496161154277443
133,0.6700000000000005,355.3513410499979,-2432.5743921767225,-2077.2230511267244,-3901.610605063082,0.4738017880666639,0.05507479735037268
134,0.6750000000000005,354.9538840721712,-2432.1746722164703,-2077.220788144299,-3900.1442711647255,0.47327184542956163,0.05518680524369515
135,0.6800000000000005,354.4043501293542,-2431.6208768326064,-2077.2165267032524,-3896.3649503321667,0.47253913350580556,0.05529742747355888
136,0.6850000000000005,353.76613925870805,-2430.9768612170237,-2077.210721958316,-3891.1714684311846,0.47168818567827736,0.05540637053454783
137,0.6900000000000005,353.1245445106536,-2430.3288235280543,-2077.2042790174005,-3885.7537881970384,0.4708327260142048,0.05551329839647878
138,0.6950000000000005,352.57328082403706,-2429.7716526762406,-2077.1983718522033,-3881.4017064675204,0.47009770776538273,0.055617890065625335
139,0.7000000000000005,352.19693901492735,-2429.3911785053915,-2077.194239490464,-3879.310342250329,0.4695959186865698,0.05571990232136931
140,0.7050000000000005,352.0527342336585,-2429.2456335511592,-2077.1928993175006,-3880.2702138286886,0.469403645644878,0.05581922612535751
